concept,lang1,form1,ipa1,lang2,form2,ipa2,label
22_navel,ces,pupek,pupɛk,pol,pępek,pɛmpɛk,1
22_navel,ces,pupek,pupɛk,ukr,пупок,pupɔk,1
22_navel,ces,pupek,pupɛk,rus,пупок,pupɔˑk,1
22_navel,ces,pupek,pupɛk,fra,nombril,nɔ̃ˈbʁi,0
22_navel,ces,pupek,pupɛk,spa,ombligo,ombliɣo,0
22_navel,ces,pupek,pupɛk,ita,ombelico,ombeliko,0
22_navel,pol,pępek,pɛmpɛk,ukr,пупок,pupɔk,1
22_navel,pol,pępek,pɛmpɛk,rus,пупок,pupɔˑk,1
22_navel,pol,pępek,pɛmpɛk,fra,nombril,nɔ̃ˈbʁi,0
22_navel,pol,pępek,pɛmpɛk,spa,ombligo,ombliɣo,0
22_navel,pol,pępek,pɛmpɛk,ita,ombelico,ombeliko,0
22_navel,ukr,пупок,pupɔk,rus,пупок,pupɔˑk,1
22_navel,ukr,пупок,pupɔk,fra,nombril,nɔ̃ˈbʁi,0
22_navel,ukr,пупок,pupɔk,spa,ombligo,ombliɣo,0
22_navel,ukr,пупок,pupɔk,ita,ombelico,ombeliko,0
22_navel,rus,пупок,pupɔˑk,fra,nombril,nɔ̃ˈbʁi,0
22_navel,rus,пупок,pupɔˑk,spa,ombligo,ombliɣo,0
22_navel,rus,пупок,pupɔˑk,ita,ombelico,ombeliko,0
22_navel,fra,nombril,nɔ̃ˈbʁi,spa,ombligo,ombliɣo,0
22_navel,fra,nombril,nɔ̃ˈbʁi,ita,ombelico,ombeliko,0
22_navel,spa,ombligo,ombliɣo,ita,ombelico,ombeliko,1
249_company,ces,společnost,spolɛt͡ʃnost,pol,towarzystwo,tɔvaʐɨstfɔ,0
249_company,ces,společnost,spolɛt͡ʃnost,ukr,товариство,tɔwɑrɪstwɔ,0
249_company,ces,společnost,spolɛt͡ʃnost,rus,общество,ɔˑbʃʲːɪstvə,0
249_company,ces,společnost,spolɛt͡ʃnost,fra,compagnie,kɔ̃paˈɲi,0
249_company,ces,společnost,spolɛt͡ʃnost,spa,compañía,kompaɲia,0
249_company,ces,společnost,spolɛt͡ʃnost,ita,compagnìa,kompaɲːia,0
249_company,pol,towarzystwo,tɔvaʐɨstfɔ,ukr,товариство,tɔwɑrɪstwɔ,1
249_company,pol,towarzystwo,tɔvaʐɨstfɔ,rus,общество,ɔˑbʃʲːɪstvə,1
249_company,pol,towarzystwo,tɔvaʐɨstfɔ,fra,compagnie,kɔ̃paˈɲi,0
249_company,pol,towarzystwo,tɔvaʐɨstfɔ,spa,compañía,kompaɲia,0
249_company,pol,towarzystwo,tɔvaʐɨstfɔ,ita,compagnìa,kompaɲːia,0
249_company,ukr,товариство,tɔwɑrɪstwɔ,rus,общество,ɔˑbʃʲːɪstvə,1
249_company,ukr,товариство,tɔwɑrɪstwɔ,fra,compagnie,kɔ̃paˈɲi,0
249_company,ukr,товариство,tɔwɑrɪstwɔ,spa,compañía,kompaɲia,0
