concept,lang1,form1,ipa1,lang2,form2,ipa2,label
209_aunt,pol,ciotka,t͡ɕɔtka,rus,тетя,tʲotʲɪ,0
694_sway,rus,колебаться,kəlɪbaˑtʲsʲɪ,ita,barcollare,barkolːare,0
370_paint,pol,farba,faɾba,rus,краска,kraˑskə,0
536_deaf__225_talk,ces,hluchý,ɦluxiː,pol,rozmowa,ɾɔzmɔva,0
53_odour,pol,woń,vɔɲ,ita,odore,odore,0
133_flock,ces,stádo,staːdo,ita,gregge,ɡredd͡ʒe,0
97_summit,pol,wierzchołek,viɛʂxɔwɛk,rus,вершина,vʲɪrʃɨˑnə,0
199_grandfather,ces,dědeček,ɟɛdɛt͡ʃɛk,pol,dziadek,d͡ʑadɛk,1
470_september__775_depart,ukr,вересень,wɛrɛsɛnʲ,ukr,відправитися,vidprɑwɪtɪsʲɑ,0
267_place,pol,miejsce,miɛjst͡sɛ,rus,место,mʲeˑstə,1
140_cat__148_bird,rus,кошка,kɔˑʃkə,pol,ptak,ptak,0
107_covebay__555_naked,spa,bahía,baia,ita,nudo,nudo,0
772_fly__676_or,rus,летать,lɪtaˑtʲ,pol,albo,albɔ,0
824_lay,fra,placer,plaˈse,ita,mettere,metːere,0
288_oar,ukr,весло,wɛslɔ,rus,весло,vʲɪsɫɔˑ,1
879_grab,pol,chwycić,xfɨt͡ɕit͡ɕ,ita,pigliare,piʎːare,0
240_tone,pol,ton,tɔn,spa,tono,tono,1
25_shoulder__677_stand,ita,spalla,spalːa,fra,être debout,ˈɛːtʁə_dəˈbu,0
571_famous__811_becold,ukr,славетний,slɑwɛtnɪj,ukr,мерзнути,mɛrznutɪ,0
154_duck__333_lock,spa,pato,pato,pol,zamek,zamɛk,0
533_expensive,pol,drogi,dɾɔɡi,fra,cher,ʃɛːʁ,0
750_die__317_window,ita,morire,morire,ukr,вікно,viknɔ,0
581_third,ukr,третій,trɛtʲij,ita,terzo,tert͡so,0
742_wakeup,ces,probudit se,probudɪt_sɛ,ita,svegliarsi,zveʎːarzi,0
140_cat__78_ice,pol,kot,kɔt,ces,led,lɛt,0
40_skin,ces,kůže,kuːʒɛ,spa,piel,pjel,0
64_stone__20_back,ita,sasso,sasːo,ita,dorso,dorzo,0
626_only,fra,seulement,sœlˈmɑ̃,fra,ne ... que,nə_kə,0
323_broom,ukr,мітла,mitlɑ,ita,scopa,skopa,0
937_shove,pol,popchnąć,pɔpxnɔnt͡ɕ,spa,empujar,empuxaɾ,0
681_become,pol,stać się,stat͡ɕ_ɕɛ̃,ita,diventare,diventare,0
105_land,pol,ląd,lɔnt,spa,tierra firme,tjera_fiɾme,0
505_cool__529_green,ukr,прохолодний,prɔxɔlɔdnɪj,spa,verde,beɾðe,0
573_different,pol,różny,ɾuʐnɨ,spa,diverso,diβeɾso,0
93_forest,pol,las,las,rus,лес,leˑs,1
626_only,pol,tylko,tɨlkɔ,rus,только,tɔˑlkə,1
15_jaw__384_strap,spa,mandíbula,mandiβula,rus,ремень,rʲɪmʲeˑnʲ,0
692_flow,spa,correr,koreɾ,ita,scorrere,skorːere,1
799_escape,ukr,утекти,utɛktɪ,spa,escaparse,eskapaɾse,0
895_tear,spa,despedazar,despeðaθaɾ,ita,stracciare,stratt͡ʃare,0
628_again,ces,zase,zasɛ,fra,de nouveau,dənuˈvo,0
811_becold,pol,marznąć,maʐnɔnt͡ɕ,fra,avoir froid,aˈvwaːʁ_ˈfʁwa,0
770_row__211_wife,ukr,веслувати,wɛsluwɑtɪ,fra,épouse,eˈpuːz,0
272_fringe,ces,kraj,kraj,ita,orlo,orlo,0
614_back,ces,nazpět,naspjɛt,spa,atrás,atɾas,0
19_head,rus,голова,ɡəɫɐvaˑ,fra,tête,tɛt,0
80_chill,ukr,холод,xɔlɔd,rus,холод,xɔˑɫət,1
60_air,pol,powietrze,pɔviɛtʂɛ,ukr,повітря,pɔvitrʲɑ,1
701_thaw,rus,таять,taˑjətʲ,fra,dégeler,deʒˈle,0
387_blanket,ces,přikrývka,br̝ɪkriːfka,ita,coperta,koperta,0
890_preserve,fra,préserver,pʁezɛʁˈve,spa,preservar,pɾeseɾβaɾ,1
128_tail,pol,ogon,ɔɡɔn,fra,queue,kø,0
510_full,ukr,повний,pɔwnɪj,rus,наполненный,nɐpɔˑɫnʲɪnnɨj,1
744_relax,spa,reposar,ɾeposaɾ,ita,riposarsi,ripozarzi,1
829_light__703_dry,ita,incendiare,int͡ʃendiare,ces,schnout,sxnoʊ̯t,0
60_air__362_tea,rus,воздух,vɔˑzdux,spa,té,te,0
518_delicious,fra,appétissant,apetiˈsɑ̃,ita,ghiotto,ɡjotːo,0
96_mountain,ces,hora,ɦora,pol,góra,ɡuɾa,1
315_shelf,rus,полка,pɔˑɫkə,spa,estantería,estanteɾia,0
320_fence,ukr,паркан,pɑrkɑn,fra,clôture,kloˈtyːʁ,0
257_part,ukr,частина,ʈ͡ʂɑstɪnɑ,fra,partie,paʁˈti,0
961_boil__819_turnout,pol,gotować,ɡɔtɔvat͡ɕ,pol,udać się,udat͡ɕ_ɕɛ̃,0
433_power,fra,pouvoir,puˈvwaːʁ,fra,puissance,pɥiˈsɑ̃ːs,0
764_jump,pol,skakać,skakat͡ɕ,ukr,стрибати,strɪbɑtɪ,0
475_tuesday__102_river,spa,martes,maɾtes,rus,река,rʲɪkaˑ,0
681_become,ukr,робитися,rɔbɪtɪsʲɑ,rus,стать,staˑtʲ,0
511_empty,fra,vide,vid,ita,vuoto,vuoto,1
558_good,pol,dobry,dɔbɾɨ,fra,bon,bɔ̃,0
774_goaway,ukr,піти,pʲitɪ,ita,andàrsene,andarzene,0
268_side__371_clothes,fra,côté,koˈte,fra,vêtements,vɛtˈmɑ̃,0
1010_own,ukr,мати,mɑtɪ,fra,posséder,pɔseˈde,0
1011_buy,ces,koupit,koʊ̯pɪt,pol,kupić,kupit͡ɕ,1
314_bed,rus,постель,pɐstʲeˑl,fra,lit,li,0
433_power,ces,moc,mot͡s,fra,pouvoir,puˈvwaːʁ,0
403_way,ukr,дорога,dɔrɔɦɑ,rus,дорога,dɐrɔˑɡə,1
